1;10
2;10
3;10
4;10
5;10
6;10
7;10
8;10
9;10
10;10
11;10
12;10
13;10
14;10
15;10
16;10
17;10
18;10
19;10
20;10
21;10
22;10
23;10
24;10
25;10
26;10
27;10
28;10
29;10
30;10
31;10
32;10
33;10
34;10
35;10
36;10
37;10
38;10
39;10
40;10
41;7
42;7
43;7
44;5
45;5
46;5
47;5
48;5
49;5
50;5
51;4
52;4
53;4
54;4
55;4
56;4
57;4
58;4
59;4
60;4
61;4
62;4
63;4
64;4
65;4
66;4
67;4
68;4
69;4
70;4
71;4
72;4
73;4
74;4
75;4
76;4
77;4
78;4
79;4
80;4
81;4
82;3
83;3
84;3
85;3
86;3
87;2
88;2
89;2
90;2
91;2
92;2
93;2
94;2
95;2
96;2
97;2
98;2
99;2
100;2
